date,final,seasonal,seasonaladj,trend,irregular,adjustfac,year,population,population_over18,pc_over18,rate,month
2015-10-31,1189859.60305648,1.02661794448091,1189859.60305648,1208939.5310151,0.984217632504247,1.05451180691983,2015,316515021,242831196,76.72027546522034,4.8999454051055285,10
2015-11-30,1212297.07125011,1.26971052460663,1212297.07125011,1204761.68939521,1.00625466589885,1.24952574408017,2015,316515021,242831196,76.72027546522034,4.992344851977379,11
2015-12-31,1619347.77279181,1.49619505324407,1619347.77279181,1618391.70491631,1.00059075183875,1.48813203716297,2015,316515021,242831196,76.72027546522034,6.668615068682567,12
2016-01-31,1601413.7206263,0.899218032265211,1601413.7206263,1602444.27263664,0.999356887457527,0.906895751731174,2016,318558162,244945724,76.8919943730715,6.537830889533307,1
2016-02-29,1348452.00539904,1.12024890096069,1348452.00539904,1328481.89613475,1.01503227806295,1.14643242311211,2016,318558162,244945724,76.8919943730715,5.505105308141815,2
2016-03-31,1255864.38614876,1.09140253230772,1255864.38614876,1281179.09207153,0.980241087230171,1.085520948787,2016,318558162,244945724,76.8919943730715,5.127112919712614,3
2016-04-30,1266627.37309088,0.903269380637522,1266627.37309088,1256299.99669884,1.00822046996671,0.922833916929832,2016,318558162,244945724,76.8919943730715,5.171053212959456,4
2016-05-31,1235926.85603498,0.803615356943557,1235926.85603498,1239957.63303662,0.996749262318128,0.787814258785262,2016,318558162,244945724,76.8919943730715,5.045717213806027,5
2016-06-30,1509354.75816137,0.798653291940145,1509354.75816137,1525660.37548791,0.989312419992997,0.797400341763339,2016,318558162,244945724,76.8919943730715,6.1619967620311265,6
2016-07-31,1556354.14958011,0.814170733594129,1556354.14958011,1520345.42145969,1.02368457036945,0.821122300695365,2016,318558162,244945724,76.8919943730715,6.353873520078718,7
2016-08-31,1458838.53153901,0.88754649267336,1458838.53153901,1459710.48889309,0.999402650483976,0.875311059033302,2016,318558162,244945724,76.8919943730715,5.955762393872243,8
2016-09-30,1370356.69532364,0.863221232023563,1370356.69532364,1405384.87217403,0.975075740785373,0.880291462884485,2016,318558162,244945724,76.8919943730715,5.594532016911796,9
2016-10-31,1425403.69843707,1.01786212627412,1425403.69843707,1402344.55989638,1.01644327592527,1.00894539671597,2016,318558162,244945724,76.8919943730715,5.819263448081543,10
2016-11-30,1388308.38610176,1.28601276604178,1388308.38610176,1380567.15906825,1.00560728029974,1.27221993159561,2016,318558162,244945724,76.8919943730715,5.667820460102256,11
2016-12-31,1321265.01032717,1.45498104618196,1321265.01032717,1327390.41177459,0.995385380673924,1.49451380651566,2016,318558162,244945724,76.8919943730715,5.394113392757858,12
2017-01-31,1281466.90761909,0.866988513237737,1281466.90761909,1283828.67178337,0.998160374342631,0.849941339510386,2017,321004407,247403128,77.07156743178295,5.179671405040158,1
2017-02-28,1253095.99014445,1.08361215723834,1253095.99014445,1255314.58598113,0.998232637570331,1.07402266912119,2017,321004407,247403128,77.07156743178295,5.064996551476302,2
2017-03-31,1235432.48012164,1.1384745680584,1235432.48012164,1247427.72314003,0.990384017610097,1.15294742765688,2017,321004407,247403128,77.07156743178295,4.993600889806212,3
2017-04-30,1267356.63881092,0.932657785452243,1267356.63881092,1260358.72950646,1.00555231549608,0.927356328919931,2017,321004407,247403128,77.07156743178295,5.122637894905355,4
2017-05-31,1271934.24885455,0.825623797552541,1271934.24885455,1270162.28747154,1.00139506691427,0.814242010491246,2017,321004407,247403128,77.07156743178295,5.1411405309901745,5
2017-06-30,1268772.74442531,0.818164587250686,1268772.74442531,1253301.15715689,1.01234466846222,0.834343821343272,2017,321004407,247403128,77.07156743178295,5.12836177408925,6
2017-07-31,1204832.96295302,0.791180818502188,1204832.96295302,1225366.03008402,0.983243319443427,0.784249874508822,2017,321004407,247403128,77.07156743178295,4.869918067297111,7
2017-08-31,1225004.36702683,0.872841066043587,1225004.36702683,1217128.25177287,1.00647106436194,0.868137313323317,2017,321004407,247403128,77.07156743178295,4.95145060181628,8
2017-09-30,1214339.9709561,0.848363693998827,1214339.9709561,1218122.3586149,0.996894903346905,0.866738990046838,2017,321004407,247403128,77.07156743178295,4.908345261326283,9
2017-10-31,1218961.20775396,0.988894862187856,1218961.20775396,1218832.73921983,1.00010540292363,0.969450703174899,2017,321004407,247403128,77.07156743178295,4.9270242361445,10
2017-11-30,1222936.79259308,1.26167863997392,1222936.79259308,1215170.93760653,1.00639075108383,1.25969928235907,2017,321004407,247403128,77.07156743178295,4.943093494731724,11
2017-12-31,1195354.78259366,1.43454244588606,1195354.78259366,1190362.81375142,1.00419365321612,1.44679088182298,2017,321004407,247403128,77.07156743178295,4.831607394202631,12
2018-01-31,1149342.78426074,0.878535848730185,1149342.78426074,1176168.86719157,0.977191980098157,0.86642463296145,2018,322903030,249349790,77.22126051279233,4.609359343197121,1
2018-02-28,1213279.71400891,1.09138725160477,1213279.71400891,1204839.25806453,1.00700546225389,1.08172895734278,2018,322903030,249349790,77.22126051279233,4.865773955570246,2
2018-03-31,1244793.30137983,1.24081208369725,1244793.30137983,1223911.35175735,1.01706165204897,1.27452573711746,2018,322903030,249349790,77.22126051279233,4.992157007149796,3
2018-04-30,1191339.26886603,0.959134465181248,1191339.26886603,1190802.29775513,1.00045093220925,0.943886959312893,2018,322903030,249349790,77.22126051279233,4.777783325448279,4
2018-05-31,1137155.43304593,0.832158172691138,1137155.43304593,1140688.5165082,0.99690267464681,0.8276736606525,2018,322903030,249349790,77.22126051279233,4.560482818316911,5
2018-06-30,1099571.07098708,0.827356142478317,1099571.07098708,1112482.22151359,0.988394285969848,0.845276421437356,2018,322903030,249349790,77.22126051279233,4.409753346842923,6
2018-07-31,1115278.15442564,0.777800239329157,1115278.15442564,1118930.82064994,0.99673557457093,0.762506731280818,2018,322903030,249349790,77.22126051279233,4.4727455131429625,7
2018-08-31,1146524.63768865,0.856778350175575,1146524.63768865,1138675.79466747,1.00689295676429,0.867670146195451,2018,322903030,249349790,77.22126051279233,4.598057362264672,8
2018-09-30,1145804.60773671,0.838038763137925,1145804.60773671,1139351.59484992,1.00566375903273,0.833275144429683,2018,322903030,249349790,77.22126051279233,4.595169732193117,9
2018-10-31,1118760.91724645,0.941434417161454,1118760.91724645,1131152.21373199,0.989045420823903,0.928456101734901,2018,322903030,249349790,77.22126051279233,4.486712891342118,10
2018-11-30,1141321.97379908,1.19691424183945,1141321.97379908,1134181.6007151,1.00629561710354,1.22058326395216,2018,322903030,249349790,77.22126051279233,4.577192440382965,11
2018-12-31,1134644.59190375,1.41863347063661,1134644.59190375,1134111.84624603,1.00046974701788,1.40620588278038,2018,322903030,249349790,77.22126051279233,4.550413264449712,12
2019-01-31,1124488.03575924,0.92311714106082,1124488.03575924,1115728.16014049,1.00785126335581,0.918142449868672,2019,322903030,249349790,77.22126051279233,4.509681102034374,1
2019-02-28,1079183.03657733,1.07422515457844,1079183.03657733,1092702.40041654,0.98762758841378,1.06471873728128,2019,322903030,249349790,77.22126051279233,4.327988552055047,2
2019-03-31,1088487.19391763,1.26210298993095,1088487.19391763,1090158.15897339,0.998467226941327,1.27287910022472,2019,322903030,249349790,77.22126051279233,4.3653022283180185,3
2019-04-30,1104045.6984626,0.950739440429777,1104045.6984626,1095924.68533945,1.00741019271834,0.94417178695734,2019,322903030,249349790,77.22126051279233,4.427698529293327,4
2019-05-31,1085921.70243651,0.863783326235172,1085921.70243651,1092744.02501246,0.993756705669587,0.87476417302337,2019,322903030,249349790,77.22126051279233,4.3550135030653525,5
2019-06-30,1093890.1333071,0.887013850990998,1093890.1333071,1087609.55431514,1.0057746633128,0.88197184582261,2019,322903030,249349790,77.22126051279233,4.38697034117053,6
2019-07-31,1075262.48753996,0.803658192808218,1075262.48753996,1075615.28670682,0.999672002461077,0.79257921658718,2019,322903030,249349790,77.22126051279233,4.31226546266576,7
