GEOID,protests_left_wing,attendance_left_wing,protests_right_wing,attendance_right_wing,protests_pro_pan_int,attendance_pro_pan_int,protests_ant_pan_int,attendance_ant_pan_int,protests_racial_just,attendance_racial_just,protests_pro_trump,attendance_pro_trump,protests_ant_trump,attendance_ant_trump
36007,8,2475,2,25,,,,,8,2475,,,,
36009,4,400,,,,,,,3,400,,,,
36011,3,400,1,20,,,,,2,250,,,,
36013,10,560,,,,,,,7,460,,,1,0
36015,9,1050,,,,,,,8,1050,,,,
36017,2,200,2,40,,,,,2,200,,,,
36019,8,1260,1,300,,,,,3,1060,,,1,0
36021,9,465,1,40,,,,,6,425,,,,
36023,5,590,,,,,,,5,590,,,,
36025,3,520,2,20,,,,,3,520,,,,
36027,15,3871,4,230,,,2,30,15,3871,,,,
36029,48,6320,22,1203,1,0,17,1191,34,6300,,,1,0
36031,4,625,,,,,,,3,625,,,,
36033,2,500,,,,,,,2,500,,,,
36037,2,0,,,,,,,2,0,,,,
36039,6,300,2,445,,,,,5,300,,,,
36043,5,220,,,,,,,,,,,,
36045,4,0,1,400,,,,,1,0,,,,
36047,50,53640,12,830,,,8,530,33,28110,1,300,2,100
36049,1,0,1,100,,,1,100,1,0,,,,
36053,1,100,3,15,,,,,1,100,2,0,,
36055,53,9385,3,5,,,2,0,47,9255,,,,
36057,6,20,4,15,,,,,6,20,,,,
36059,83,22087,29,5313,,,12,460,73,19457,6,2600,1,10
36061,125,33310,19,1720,,,8,1220,60,26935,3,0,9,240
36063,5,190,1,200,,,,,5,190,1,200,,
36065,7,265,4,115,,,1,0,3,150,1,0,,
36067,29,5015,6,460,,,3,220,28,5015,2,140,,
36069,10,450,,,,,,,8,450,,,,
36071,13,1920,5,120,,,1,0,9,1450,,,1,300
36075,4,200,,,,,,,2,200,,,1,0
36077,5,800,,,,,,,5,800,,,,
36079,4,120,1,0,,,,,4,120,,,,
36081,55,7740,12,60,1,0,4,60,34,6860,1,0,1,0
36083,8,8180,1,0,,,1,0,6,8110,,,,
36085,17,3425,12,1135,,,9,585,11,3355,1,300,,
36087,5,325,4,1000,,,1,0,3,250,1,0,1,75
36089,11,1244,1,0,,,,,7,1220,,,,
36091,12,2516,2,300,,,,,9,2200,1,100,,
36093,7,1075,3,55,,,1,25,6,775,,,,
36095,1,0,,,,,,,1,0,,,,
36099,3,100,2,0,,,2,0,1,0,,,,
36101,2,620,,,,,,,2,620,,,,
36103,62,6985,21,3036,,,9,323,55,6925,3,100,2,0
36105,6,480,,,,,,,6,480,,,,
36109,12,500,2,50,,,,,9,450,,,,
36111,12,2170,1,0,,,1,0,10,2170,,,1,0
36113,9,2481,5,60,,,1,30,5,2350,1,20,2,1
36115,3,90,1,25,,,,,3,90,1,25,,
36117,1,0,1,2000,,,,,1,0,,,,
36119,36,6430,8,420,,,3,100,24,6290,3,120,,
36123,1,20,,,,,,,1,20,,,,
37001,29,2861,12,275,,,2,0,19,2831,2,100,,
37003,1,0,,,,,,,1,0,,,,
37009,1,300,1,0,,,,,1,300,,,,
37013,4,125,,,,,,,4,125,,,,
37015,1,60,,,,,,,,,,,,
37021,25,3710,3,0,,,1,0,15,3650,,,,
37023,5,50,2,40,,,1,40,3,50,,,,
37025,5,0,1,0,,,1,0,5,0,,,,
37035,3,100,,,,,,,3,100,,,,
37037,1,0,1,0,,,,,1,0,,,,
37039,1,0,,,,,,,1,0,,,,
37041,1,35,,,,,,,,,,,,
37045,1,0,,,,,,,1,0,,,,
37049,3,420,,,,,,,2,400,,,,
37051,11,375,3,350,,,1,100,10,345,,,,
37055,1,500,,,,,,,1,500,,,,
37057,2,20,2,0,,,,,2,20,1,0,,
37063,27,3650,,,,,,,19,3300,,,,
37065,2,0,,,,,,,2,0,,,,
37067,63,4333,2,60,,,1,60,58,4173,,,1,60
37071,4,30,2,10,,,1,10,3,30,,,,
37073,1,0,,,,,,,1,0,,,,
37077,3,265,,,,,,,2,250,,,,
37081,15,3315,9,140,,,3,100,14,3305,,,,
37085,1,100,,,,,,,1,100,,,,
37087,5,430,6,250,,,1,50,5,430,1,0,,
37089,6,750,1,100,,,,,2,750,1,100,1,0
37093,2,200,,,,,,,2,200,,,,
37097,6,740,3,0,,,,,6,740,,,,
